#EXPORTTYPE:DATA ALL
#FILE:
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 200F3
#PROJECT:
#DATE/TIME:19.03.2025 11:40
#CORR. FILE:
#TEMPCAL:temp_cal_3Kmin.ngb-td5
#SENSITIVITY:sens_cal_3Kmin.ngb-ed5
#LABORATORY:
#OPERATOR:
#REMARK:CR 1370.2,7; SS(80.7) 50.5; W 277.8-50.5=27.3; tot 1447.4
#SAMPLE:
#SAMPLE MASS /mg:77.8
#MATERIAL:
#REFERENCE:Ref.
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:High pressure, steel
#SAMPLE CRUCIBLE MASS /mg:1370.2
#REFERENCE CRUCIBLE MASS /mg:1385.5
#M.RANGE /�V:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25�C....200�C/-7.0....7.0K/min
#SEGMENT:S1-5/5
#SEG. 1:25�C/7.0(K/min)/50�C
#SEG. 2:50�C/00:15/50�C
#SEG. 3:50�C/5.0(K/min)/200�C
#SEG. 4:200�C/00:30/200�C
#SEG. 5:200�C/7.0(K/min)/50�C

##Temp./C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 24.96900; 0.00000;-9.661650e-004;50.00000;100.00000;2.76076;1
 24.96900; 0.01667;-9.590609e-004;50.00000;100.00000;2.76076;1
 24.96800; 0.03333;-9.519220e-004;50.00000;100.00000;2.76076;1
 24.96900; 0.05000;-9.448526e-004;50.00000;100.00000;2.76076;1
 24.96900; 0.06667;-9.590609e-004;50.00000;100.00000;2.76076;1
 24.96800; 0.08333;-9.661303e-004;50.00000;100.00000;2.76076;1
 24.97100; 0.10000;-9.484745e-004;50.00000;100.00000;2.76077;1
 24.97000; 0.11667;-9.413356e-004;50.00000;100.00000;2.76077;1
 24.97100; 0.13333;-9.342663e-004;50.00000;100.00000;2.76077;1
 24.97300; 0.15000;-8.561909e-004;50.00000;100.00000;2.76077;1
 24.97600; 0.16667;-8.030151e-004;50.00000;100.00000;2.76078;1
 24.97900; 0.18333;-7.072154e-004;50.00000;100.00000;2.76079;1
 24.98200; 0.20000;-5.794479e-004;50.00000;100.00000;2.76080;1
 24.98900; 0.21667;-3.949909e-004;50.00000;100.00000;2.76082;1
 24.99700; 0.23333;-1.857084e-004;50.00000;100.00000;2.76084;1
 25.00600; 0.25000; 6.260626e-005;50.00000;100.00000;2.76087;1
 25.01500; 0.26667; 4.139216e-004;50.00000;100.00000;2.76089;1
 25.02500; 0.28333; 8.362313e-004;50.00000;100.00000;2.76092;1
 25.04100; 0.30000; 1.265413e-003;50.00000;100.00000;2.76096;1
 25.05600; 0.31667; 1.815379e-003;50.00000;100.00000;2.76101;1
 25.07400; 0.33333; 2.478867e-003;50.00000;100.00000;2.76106;1
 25.09500; 0.35000; 3.202592e-003;50.00000;100.00000;2.76111;1
 25.11800; 0.36667; 4.082474e-003;50.00000;100.00000;2.76118;1
 25.14400; 0.38333; 5.004810e-003;50.00000;100.00000;2.76125;1
 25.17200; 0.40000; 6.058414e-003;50.00000;100.00000;2.76133;1
 25.20100; 0.41667; 7.236208e-003;50.00000;100.00000;2.76141;1
 25.23600; 0.43333; 8.495344e-003;50.00000;100.00000;2.76151;1
 25.27100; 0.45000; 9.903532e-003;50.00000;100.00000;2.76160;1
 25.30900; 0.46667; 1.141090e-002;50.00000;100.00000;2.76171;1
 25.35000; 0.48333; 1.306714e-002;50.00000;100.00000;2.76182;1
 25.39500; 0.50000; 1.482601e-002;50.00000;100.00000;2.76195;1
 25.44100; 0.51667; 1.672668e-002;50.00000;100.00000;2.76208;1
