#EXPORTTYPE:DATA ALL
#FILE:
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 200F3
#PROJECT:
#DATE/TIME:19.03.2025 15:09
#CORR. FILE:
#TEMPCAL:temp_cal_3Kmin.ngb-td5
#SENSITIVITY:sens_cal_3Kmin.ngb-ed5
#LABORATORY:
#OPERATOR:
#REMARK:CR 1355.7; tot 1431.2
#SAMPLE:
#SAMPLE MASS /mg:75.9
#MATERIAL:
#REFERENCE:Ref.
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:High pressure, steel
#SAMPLE CRUCIBLE MASS /mg:1355.7
#REFERENCE CRUCIBLE MASS /mg:1385.5
#M.RANGE /�V:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25�C....200�C/-7.0....7.0K/min
#SEGMENT:S1-5/5
#SEG. 1:25�C/7.0(K/min)/50�C
#SEG. 2:50�C/00:15/50�C
#SEG. 3:50�C/5.0(K/min)/200�C
#SEG. 4:200�C/00:30/200�C
#SEG. 5:200�C/7.0(K/min)/50�C

##Temp./�C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 37.38300; 0.00000;-1.510214e-002;50.00000;100.00000;2.79369;1
 37.38100; 0.01667;-1.509130e-002;50.00000;100.00000;2.79369;1
 37.37900; 0.03333;-1.508406e-002;50.00000;100.00000;2.79368;1
 37.37500; 0.05000;-1.507318e-002;50.00000;100.00000;2.79367;1
 37.37400; 0.06667;-1.505516e-002;50.00000;100.00000;2.79367;1
 37.36800; 0.08333;-1.505862e-002;50.00000;100.00000;2.79366;1
 37.36700; 0.10000;-1.507299e-002;50.00000;100.00000;2.79365;1
 37.36300; 0.11667;-1.508010e-002;50.00000;100.00000;2.79364;1
 37.36000; 0.13333;-1.506924e-002;50.00000;100.00000;2.79364;1
 37.35800; 0.15000;-1.506559e-002;50.00000;100.00000;2.79363;1
 37.35400; 0.16667;-1.505831e-002;50.00000;100.00000;2.79362;1
 37.35200; 0.18333;-1.505466e-002;50.00000;100.00000;2.79362;1
 37.34900; 0.20000;-1.506179e-002;50.00000;100.00000;2.79361;1
 37.34700; 0.21667;-1.506894e-002;50.00000;100.00000;2.79360;1
 37.34200; 0.23333;-1.505803e-002;50.00000;100.00000;2.79359;1
 37.34100; 0.25000;-1.506161e-002;50.00000;100.00000;2.79359;1
 37.33700; 0.26667;-1.505792e-002;50.00000;100.00000;2.79358;1
 37.33600; 0.28333;-1.505430e-002;50.00000;100.00000;2.79358;1
 37.33200; 0.30000;-1.505061e-002;50.00000;100.00000;2.79357;1
 37.33000; 0.31667;-1.503977e-002;50.00000;100.00000;2.79356;1
 37.32400; 0.33333;-1.504683e-002;50.00000;100.00000;2.79355;1
 37.32200; 0.35000;-1.503239e-002;50.00000;100.00000;2.79354;1
 37.32200; 0.36667;-1.503599e-002;50.00000;100.00000;2.79354;1
 37.31900; 0.38333;-1.504312e-002;50.00000;100.00000;2.79353;1
 37.31500; 0.40000;-1.503223e-002;50.00000;100.00000;2.79352;1
 37.31300; 0.41667;-1.502499e-002;50.00000;100.00000;2.79352;1
 37.30900; 0.43333;-1.501410e-002;50.00000;100.00000;2.79351;1
 37.30700; 0.45000;-1.502485e-002;50.00000;100.00000;2.79350;1
 37.30400; 0.46667;-1.499600e-002;50.00000;100.00000;2.79350;1
 37.30100; 0.48333;-1.502831e-002;50.00000;100.00000;2.79349;1
 37.29900; 0.50000;-1.501747e-002;50.00000;100.00000;2.79348;1
 37.29400; 0.51667;-1.501376e-002;50.00000;100.00000;2.79347;1
 37.29300; 0.53333;-1.501734e-002;50.00000;100.00000;2.79347;1
 37.28900; 0.55000;-1.501724e-002;50.00000;100.00000;2.79346;1
 37.28600; 0.56667;-1.502797e-002;50.00000;100.00000;2.79345;1
 37.28400; 0.58333;-1.501353e-002;50.00000;100.00000;2.79344;1
 37.28100; 0.60000;-1.500627e-002;50.00000;100.00000;2.79344;1
 37.27700; 0.61667;-1.500258e-002;50.00000;100.00000;2.79343;1
 37.27500; 0.63333;-1.500253e-002;50.00000;100.00000;2.79342;1
 37.27200; 0.65000;-1.499886e-002;50.00000;100.00000;2.79341;1
 37.27000; 0.66667;-1.498083e-002;50.00000;100.00000;2.79341;1
 37.26600; 0.68333;-1.497714e-002;50.00000;100.00000;2.79340;1
 37.26400; 0.70000;-1.498429e-002;50.00000;100.00000;2.79339;1
 37.26100; 0.71667;-1.499142e-002;50.00000;100.00000;2.79339;1
 37.25700; 0.73333;-1.497333e-002;50.00000;100.00000;2.79338;1
 37.25600; 0.75000;-1.498411e-002;50.00000;100.00000;2.79337;1
 37.25200; 0.76667;-1.498401e-002;50.00000;100.00000;2.79336;1
 37.24900; 0.78333;-1.496595e-002;50.00000;100.00000;2.79336;1
 37.24800; 0.80000;-1.494794e-002;50.00000;100.00000;2.79335;1
 37.24500; 0.81667;-1.494427e-002;50.00000;100.00000;2.79335;1
 37.24000; 0.83333;-1.495855e-002;50.00000;100.00000;2.79333;1
 37.23900; 0.85000;-1.493334e-002;50.00000;100.00000;2.79333;1
 37.23400; 0.86667;-1.495482e-002;50.00000;100.00000;2.79332;1
 37.23200; 0.88333;-1.495477e-002;50.00000;100.00000;2.79331;1
 37.22900; 0.90000;-1.495470e-002;50.00000;100.00000;2.79331;1
 37.22700; 0.91667;-1.495106e-002;50.00000;100.00000;2.79330;1
 37.22400; 0.93333;-1.495099e-002;50.00000;100.00000;2.79329;1
 37.22100; 0.95000;-1.491853e-002;50.00000;100.00000;2.79329;1
 37.21800; 0.96667;-1.491846e-002;50.00000;100.00000;2.79328;1
 37.21600; 0.98333;-1.492562e-002;50.00000;100.00000;2.79327;1
 37.21400; 1.00000;-1.492197e-002;50.00000;100.00000;2.79327;1
 37.20900; 1.01667;-1.490746e-002;50.00000;100.00000;2.79326;1
 37.20700; 1.03333;-1.490382e-002;50.00000;100.00000;2.79325;1
 37.20300; 1.05000;-1.489293e-002;50.00000;100.00000;2.79324;1
 37.20100; 1.06667;-1.490008e-002;50.00000;100.00000;2.79324;1
 37.19900; 1.08333;-1.489644e-002;50.00000;100.00000;2.79323;1
 37.19600; 1.10000;-1.489637e-002;50.00000;100.00000;2.79322;1
 37.19300; 1.11667;-1.488910e-002;50.00000;100.00000;2.79322;1
 37.19000; 1.13333;-1.488184e-002;50.00000;100.00000;2.79321;1
 37.18700; 1.15000;-1.488897e-002;50.00000;100.00000;2.79320;1
 37.18500; 1.16667;-1.488532e-002;50.00000;100.00000;2.79320;1
 37.18100; 1.18333;-1.487803e-002;50.00000;100.00000;2.79319;1
 37.18000; 1.20000;-1.485642e-002;50.00000;100.00000;2.79318;1
 37.17800; 1.21667;-1.485277e-002;50.00000;100.00000;2.79318;1
 37.17300; 1.23333;-1.485986e-002;50.00000;100.00000;2.79316;1
 37.17100; 1.25000;-1.485261e-002;50.00000;100.00000;2.79316;1
