#EXPORTTYPE:DATA ALL
#FILE:
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 200F3
#PROJECT:dsc_data_analysis
#DATE/TIME:19.03.2025 21:19
#CORR. FILE:
#TEMPCAL:temp_cal_3Kmin.ngb-td5
#SENSITIVITY:sens_cal_3Kmin.ngb-ed5
#LABORATORY:
#OPERATOR:
#REMARK:CR 1369.2; tot 1443.2
#SAMPLE:
#SAMPLE MASS /mg:74.8
#MATERIAL:
#REFERENCE:Ref.
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:High pressure, steel
#SAMPLE CRUCIBLE MASS /mg:1369.2
#REFERENCE CRUCIBLE MASS /mg:1385.5
#M.RANGE /�V:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25�C....200�C/-7.0....7.0K/min
#SEGMENT:S1-5/5
#SEG. 1:25�C/7.0(K/min)/50�C
#SEG. 2:50�C/00:15/50�C
#SEG. 3:50�C/5.0(K/min)/200�C
#SEG. 4:200�C/00:30/200�C
#SEG. 5:200�C/7.0(K/min)/50�C

##Temp./C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 26.29600; 0.00000;-2.676422e-003;50.00000;100.00000;2.76444;1
 26.29500; 0.01667;-2.680077e-003;50.00000;100.00000;2.76444;1
 26.29400; 0.03333;-2.687421e-003;50.00000;100.00000;2.76444;1
 26.29300; 0.05000;-2.702145e-003;50.00000;100.00000;2.76444;1
 26.29400; 0.06667;-2.694800e-003;50.00000;100.00000;2.76444;1
 26.29500; 0.08333;-2.665318e-003;50.00000;100.00000;2.76444;1
 26.29400; 0.10000;-2.694800e-003;50.00000;100.00000;2.76444;1
 26.29400; 0.11667;-2.672663e-003;50.00000;100.00000;2.76444;1
 26.29500; 0.13333;-2.650560e-003;50.00000;100.00000;2.76444;1
 26.29500; 0.15000;-2.609974e-003;50.00000;100.00000;2.76444;1
 26.29600; 0.16667;-2.580492e-003;50.00000;100.00000;2.76444;1
 26.29700; 0.18333;-2.543630e-003;50.00000;100.00000;2.76445;1
 26.29700; 0.20000;-2.458769e-003;50.00000;100.00000;2.76445;1
 26.30000; 0.21667;-2.340806e-003;50.00000;100.00000;2.76445;1
 26.30400; 0.23333;-2.185983e-003;50.00000;100.00000;2.76447;1
 26.30900; 0.25000;-2.031197e-003;50.00000;100.00000;2.76448;1
 26.31400; 0.26667;-1.817379e-003;50.00000;100.00000;2.76449;1
 26.31800; 0.28333;-1.603528e-003;50.00000;100.00000;2.76450;1
 26.32500; 0.30000;-1.363959e-003;50.00000;100.00000;2.76452;1
 26.33500; 0.31667;-1.050713e-003;50.00000;100.00000;2.76455;1
 26.34400; 0.33333;-7.226791e-004;50.00000;100.00000;2.76458;1
 26.35600; 0.35000;-2.951477e-004;50.00000;100.00000;2.76461;1
 26.36900; 0.36667; 1.839870e-004;50.00000;100.00000;2.76464;1
 26.38300; 0.38333; 7.110321e-004;50.00000;100.00000;2.76468;1
 26.39800; 0.40000; 1.274916e-003;50.00000;100.00000;2.76472;1
 26.41600; 0.41667; 1.934585e-003;50.00000;100.00000;2.76477;1
 26.43200; 0.43333; 2.620134e-003;50.00000;100.00000;2.76482;1
 26.45400; 0.45000; 3.438223e-003;50.00000;100.00000;2.76488;1
 26.47800; 0.46667; 4.241436e-003;50.00000;100.00000;2.76495;1
 26.50300; 0.48333; 5.203190e-003;50.00000;100.00000;2.76501;1
 26.52900; 0.50000; 6.164853e-003;50.00000;100.00000;2.76509;1
 26.55800; 0.51667; 7.248059e-003;50.00000;100.00000;2.76517;1
 26.58900; 0.53333; 8.408570e-003;50.00000;100.00000;2.76525;1
 26.62200; 0.55000; 9.587358e-003;50.00000;100.00000;2.76534;1
 26.65700; 0.56667; 1.087293e-002;50.00000;100.00000;2.76544;1
 26.69200; 0.58333; 1.225800e-002;50.00000;100.00000;2.76553;1
 26.73200; 0.60000; 1.372016e-002;50.00000;100.00000;2.76564;1
 26.77300; 0.61667; 1.519691e-002;50.00000;100.00000;2.76576;1
 26.81500; 0.63333; 1.678780e-002;50.00000;100.00000;2.76587;1
 26.86000; 0.65000; 1.843371e-002;50.00000;100.00000;2.76600;1
 26.90600; 0.66667; 2.017529e-002;50.00000;100.00000;2.76612;1
 26.95400; 0.68333; 2.198295e-002;50.00000;100.00000;2.76625;1
 27.00300; 0.70000; 2.386044e-002;50.00000;100.00000;2.76639;1
 27.05200; 0.71667; 2.580779e-002;50.00000;100.00000;2.76652;1
 27.10700; 0.73333; 2.783199e-002;50.00000;100.00000;2.76667;1
 27.16200; 0.75000; 2.988915e-002;50.00000;100.00000;2.76682;1
 27.21700; 0.76667; 3.203087e-002;50.00000;100.00000;2.76698;1
 27.27400; 0.78333; 3.427173e-002;50.00000;100.00000;2.76713;1
 27.33200; 0.80000; 3.651227e-002;50.00000;100.00000;2.76729;1
 27.39400; 0.81667; 3.886282e-002;50.00000;100.00000;2.76746;1
 27.45400; 0.83333; 4.126852e-002;50.00000;100.00000;2.76762;1
 27.51800; 0.85000; 4.368836e-002;50.00000;100.00000;2.76780;1
 27.58100; 0.86667; 4.620009e-002;50.00000;100.00000;2.76797;1
 27.64800; 0.88333; 4.873328e-002;50.00000;100.00000;2.76815;1
 27.71400; 0.90000; 5.136202e-002;50.00000;100.00000;2.76833;1
 27.78300; 0.91667; 5.408594e-002;50.00000;100.00000;2.76852;1
 27.85100; 0.93333; 5.676906e-002;50.00000;100.00000;2.76871;1
 27.92300; 0.95000; 5.948828e-002;50.00000;100.00000;2.76890;1
 27.99500; 0.96667; 6.235077e-002;50.00000;100.00000;2.76910;1
 28.06700; 0.98333; 6.521653e-002;50.00000;100.00000;2.76930;1
 28.14100; 1.00000; 6.810379e-002;50.00000;100.00000;2.76950;1
 28.21600; 1.01667; 7.106049e-002;50.00000;100.00000;2.76970;1
 28.29300; 1.03333; 7.403863e-002;50.00000;100.00000;2.76991;1
 28.36800; 1.05000; 7.706442e-002;50.00000;100.00000;2.77011;1
 28.44500; 1.06667; 8.010427e-002;50.00000;100.00000;2.77032;1
 28.52100; 1.08333; 8.319163e-002;50.00000;100.00000;2.77053;1
 28.60200; 1.10000; 8.630739e-002;50.00000;100.00000;2.77075;1
 28.68300; 1.11667; 8.948155e-002;50.00000;100.00000;2.77097;1
 28.76400; 1.13333; 9.265888e-002;50.00000;100.00000;2.77119;1
 28.84600; 1.15000; 9.587240e-002;50.00000;100.00000;2.77141;1
 28.92800; 1.16667; 9.907805e-002;50.00000;100.00000;2.77163;1
 29.01200; 1.18333;       0.10234;50.00000;100.00000;2.77186;1
 29.09600; 1.20000;       0.10561;50.00000;100.00000;2.77208;1
 29.17900; 1.21667;       0.10893;50.00000;100.00000;2.77231;1
 29.26600; 1.23333;       0.11223;50.00000;100.00000;2.77254;1
 29.35200; 1.25000;       0.11556;50.00000;100.00000;2.77277;1
 29.43800; 1.26667;       0.11891;50.00000;100.00000;2.77301;1
 29.52700; 1.28333;       0.12226;50.00000;100.00000;2.77324;1
 29.61500; 1.30000;       0.12563;50.00000;100.00000;2.77348;1
 29.70400; 1.31667;       0.12900;50.00000;100.00000;2.77372;1
 29.79200; 1.33333;       0.13238;50.00000;100.00000;2.77396;1
 29.88200; 1.35000;       0.13577;50.00000;100.00000;2.77420;1
 29.97300; 1.36667;       0.13916;50.00000;100.00000;2.77444;1
 30.06300; 1.38333;       0.14261;50.00000;100.00000;2.77468;1
 30.15300; 1.40000;       0.14599;50.00000;100.00000;2.77492;1
 30.24500; 1.41667;       0.14940;50.00000;100.00000;2.77517;1
 30.33800; 1.43333;       0.15280;50.00000;100.00000;2.77542;1
 30.43200; 1.45000;       0.15622;50.00000;100.00000;2.77567;1
 30.52400; 1.46667;       0.15966;50.00000;100.00000;2.77592;1
 30.61900; 1.48333;       0.16305;50.00000;100.00000;2.77617;1
 30.71400; 1.50000;       0.16648;50.00000;100.00000;2.77642;1
 30.80800; 1.51667;       0.16988;50.00000;100.00000;2.77667;1
 30.90200; 1.53333;       0.17327;50.00000;100.00000;2.77692;1
 30.99700; 1.55000;       0.17666;50.00000;100.00000;2.77717;1
 31.09300; 1.56667;       0.18005;50.00000;100.00000;2.77743;1
 31.19000; 1.58333;       0.18342;50.00000;100.00000;2.77769;1
 31.28600; 1.60000;       0.18677;50.00000;100.00000;2.77794;1
 31.38400; 1.61667;       0.19012;50.00000;100.00000;2.77820;1
 31.48100; 1.63333;       0.19350;50.00000;100.00000;2.77846;1
 31.57900; 1.65000;       0.19682;50.00000;100.00000;2.77872;1
 31.67600; 1.66667;       0.20015;50.00000;100.00000;2.77897;1
 31.77600; 1.68333;       0.20348;50.00000;100.00000;2.77924;1
 31.87500; 1.70000;       0.20676;50.00000;100.00000;2.77950;1
 31.97300; 1.71667;       0.21006;50.00000;100.00000;2.77976;1
 32.07300; 1.73333;       0.21335;50.00000;100.00000;2.78002;1
 32.17200; 1.75000;       0.21659;50.00000;100.00000;2.78028;1
 32.27200; 1.76667;       0.21983;50.00000;100.00000;2.78054;1
 32.37200; 1.78333;       0.22307;50.00000;100.00000;2.78081;1
 32.47400; 1.80000;       0.22626;50.00000;100.00000;2.78108;1
 32.57300; 1.81667;       0.22948;50.00000;100.00000;2.78133;1
 32.67600; 1.83333;       0.23265;50.00000;100.00000;2.78160;1
 32.77700; 1.85000;       0.23581;50.00000;100.00000;2.78187;1
 32.88000; 1.86667;       0.23896;50.00000;100.00000;2.78214;1
 32.98100; 1.88333;       0.24208;50.00000;100.00000;2.78240;1
 33.08400; 1.90000;       0.24519;50.00000;100.00000;2.78267;1
 33.18500; 1.91667;       0.24826;50.00000;100.00000;2.78294;1
 33.28800; 1.93333;       0.25135;50.00000;100.00000;2.78320;1
 33.39100; 1.95000;       0.25437;50.00000;100.00000;2.78347;1
 33.49400; 1.96667;       0.25741;50.00000;100.00000;2.78374;1
 33.59800; 1.98333;       0.26039;50.00000;100.00000;2.78401;1
 33.70200; 2.00000;       0.26342;50.00000;100.00000;2.78428;1
 33.80600; 2.01667;       0.26635;50.00000;100.00000;2.78455;1
 33.90900; 2.03333;       0.26927;50.00000;100.00000;2.78482;1
 34.01400; 2.05000;       0.27226;50.00000;100.00000;2.78509;1
 34.11900; 2.06667;       0.27515;50.00000;100.00000;2.78536;1
 34.22400; 2.08333;       0.27804;50.00000;100.00000;2.78563;1
 34.32900; 2.10000;       0.28087;50.00000;100.00000;2.78591;1
 34.43500; 2.11667;       0.28375;50.00000;100.00000;2.78618;1
 34.54000; 2.13333;       0.28657;50.00000;100.00000;2.78645;1
 34.64600; 2.15000;       0.28936;50.00000;100.00000;2.78672;1
 34.75000; 2.16667;       0.29214;50.00000;100.00000;2.78699;1
 34.85800; 2.18333;       0.29492;50.00000;100.00000;2.78727;1
 34.96300; 2.20000;       0.29762;50.00000;100.00000;2.78754;1
 35.06900; 2.21667;       0.30032;50.00000;100.00000;2.78781;1
 35.17800; 2.23333;       0.30302;50.00000;100.00000;2.78809;1
 35.28300; 2.25000;       0.30569;50.00000;100.00000;2.78836;1
 35.39000; 2.26667;       0.30836;50.00000;100.00000;2.78864;1
 35.49600; 2.28333;       0.31097;50.00000;100.00000;2.78891;1
 35.60300; 2.30000;       0.31358;50.00000;100.00000;2.78918;1
 35.71100; 2.31667;       0.31615;50.00000;100.00000;2.78946;1
 35.81900; 2.33333;       0.31868;50.00000;100.00000;2.78973;1
 35.92700; 2.35000;       0.32122;50.00000;100.00000;2.79001;1
 36.03400; 2.36667;       0.32375;50.00000;100.00000;2.79028;1
 36.14200; 2.38333;       0.32623;50.00000;100.00000;2.79055;1
 36.24900; 2.40000;       0.32868;50.00000;100.00000;2.79083;1
 36.35800; 2.41667;       0.33113;50.00000;100.00000;2.79110;1
 36.46700; 2.43333;       0.33357;50.00000;100.00000;2.79138;1
 36.57700; 2.45000;       0.33597;50.00000;100.00000;2.79166;1
 36.68500; 2.46667;       0.33834;50.00000;100.00000;2.79193;1
 36.79400; 2.48333;       0.34071;50.00000;100.00000;2.79221;1
 36.90300; 2.50000;       0.34303;50.00000;100.00000;2.79248;1
 37.01200; 2.51667;       0.34535;50.00000;100.00000;2.79276;1
 37.12100; 2.53333;       0.34765;50.00000;100.00000;2.79303;1
 37.23100; 2.55000;       0.34992;50.00000;100.00000;2.79331;1
 37.34000; 2.56667;       0.35216;50.00000;100.00000;2.79359;1
 37.44900; 2.58333;       0.35437;50.00000;100.00000;2.79386;1
 37.55900; 2.60000;       0.35659;50.00000;100.00000;2.79414;1
 37.67000; 2.61667;       0.35875;50.00000;100.00000;2.79442;1
 37.77900; 2.63333;       0.36093;50.00000;100.00000;2.79469;1
 37.88900; 2.65000;       0.36307;50.00000;100.00000;2.79496;1
 38.00000; 2.66667;       0.36519;50.00000;100.00000;2.79524;1
 38.11000; 2.68333;       0.36726;50.00000;100.00000;2.79552;1
 38.22000; 2.70000;       0.36934;50.00000;100.00000;2.79579;1
 38.33100; 2.71667;       0.37142;50.00000;100.00000;2.79607;1
 38.44200; 2.73333;       0.37346;50.00000;100.00000;2.79635;1
 38.55300; 2.75000;       0.37549;50.00000;100.00000;2.79662;1
 38.66300; 2.76667;       0.37749;50.00000;100.00000;2.79690;1
 38.77300; 2.78333;       0.37947;50.00000;100.00000;2.79717;1
 38.88700; 2.80000;       0.38140;50.00000;100.00000;2.79745;1
 38.99700; 2.81667;       0.38334;50.00000;100.00000;2.79773;1
 39.10800; 2.83333;       0.38525;50.00000;100.00000;2.79800;1
 39.21800; 2.85000;       0.38715;50.00000;100.00000;2.79827;1
 39.33100; 2.86667;       0.38906;50.00000;100.00000;2.79855;1
 39.44000; 2.88333;       0.39092;50.00000;100.00000;2.79882;1
 39.55200; 2.90000;       0.39275;50.00000;100.00000;2.79910;1
 39.66400; 2.91667;       0.39457;50.00000;100.00000;2.79938;1
 39.77700; 2.93333;       0.39636;50.00000;100.00000;2.79965;1
 39.88800; 2.95000;       0.39813;50.00000;100.00000;2.79993;1
 39.99900; 2.96667;       0.39992;50.00000;100.00000;2.80020;1
 40.11100; 2.98333;       0.40165;50.00000;100.00000;2.80048;1
 40.22400; 3.00000;       0.40338;50.00000;100.00000;2.80075;1
 40.33600; 3.01667;       0.40510;50.00000;100.00000;2.80103;1
 40.44800; 3.03333;       0.40679;50.00000;100.00000;2.80130;1
 40.56000; 3.05000;       0.40845;50.00000;100.00000;2.80158;1
 40.67200; 3.06667;       0.41014;50.00000;100.00000;2.80185;1
 40.78300; 3.08333;       0.41178;50.00000;100.00000;2.80212;1
 40.89800; 3.10000;       0.41341;50.00000;100.00000;2.80240;1
 41.01100; 3.11667;       0.41499;50.00000;100.00000;2.80268;1
 41.12400; 3.13333;       0.41659;50.00000;100.00000;2.80295;1
 41.23600; 3.15000;       0.41820;50.00000;100.00000;2.80322;1
 41.34800; 3.16667;       0.41973;50.00000;100.00000;2.80350;1
 41.46100; 3.18333;       0.42128;50.00000;100.00000;2.80377;1
 41.57400; 3.20000;       0.42280;50.00000;100.00000;2.80404;1
 41.68700; 3.21667;       0.42431;50.00000;100.00000;2.80432;1
 41.80100; 3.23333;       0.42578;50.00000;100.00000;2.80459;1
 41.91500; 3.25000;       0.42726;50.00000;100.00000;2.80487;1
 42.02600; 3.26667;       0.42872;50.00000;100.00000;2.80514;1
 42.14000; 3.28333;       0.43014;50.00000;100.00000;2.80541;1
 42.25400; 3.30000;       0.43157;50.00000;100.00000;2.80568;1
 42.36600; 3.31667;       0.43299;50.00000;100.00000;2.80595;1
 42.48000; 3.33333;       0.43438;50.00000;100.00000;2.80623;1
 42.59200; 3.35000;       0.43576;50.00000;100.00000;2.80650;1
 42.70900; 3.36667;       0.43714;50.00000;100.00000;2.80678;1
 42.82200; 3.38333;       0.43849;50.00000;100.00000;2.80705;1
 42.93600; 3.40000;       0.43984;50.00000;100.00000;2.80732;1
 43.05000; 3.41667;       0.44116;50.00000;100.00000;2.80759;1
 43.16300; 3.43333;       0.44243;50.00000;100.00000;2.80786;1
 43.27600; 3.45000;       0.44372;50.00000;100.00000;2.80813;1
 43.39000; 3.46667;       0.44502;50.00000;100.00000;2.80840;1
 43.50500; 3.48333;       0.44627;50.00000;100.00000;2.80868;1
 43.61800; 3.50000;       0.44752;50.00000;100.00000;2.80895;1
 43.73400; 3.51667;       0.44876;50.00000;100.00000;2.80922;1
 43.84800; 3.53333;       0.44998;50.00000;100.00000;2.80949;1
 43.96100; 3.55000;       0.45119;50.00000;100.00000;2.80976;1
 44.07600; 3.56667;       0.45236;50.00000;100.00000;2.81003;1
 44.09800; 3.57167;       0.45247;50.00000;100.00000;2.81008;1
 44.22200; 3.58833;       0.45389;50.00000;100.00000;2.81038;2
 44.33900; 3.60500;       0.45504;50.00000;100.00000;2.81065;2
 44.45200; 3.62167;       0.45615;50.00000;100.00000;2.81092;2
 44.56500; 3.63833;       0.45725;50.00000;100.00000;2.81119;2
 44.67600; 3.65500;       0.45828;50.00000;100.00000;2.81145;2
 44.78600; 3.67167;       0.45923;50.00000;100.00000;2.81171;2
 44.89500; 3.68833;       0.46006;50.00000;100.00000;2.81196;2
 45.00200; 3.70500;       0.46083;50.00000;100.00000;2.81221;2
 45.10700; 3.72167;       0.46154;50.00000;100.00000;2.81246;2
 45.20900; 3.73833;       0.46214;50.00000;100.00000;2.81270;2
