#EXPORTTYPE:DATA ALL
#FILE:
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 200F3
#DATE/TIME:14.04.2025 17:29
#TEMPCAL:temp_cal_5Kmin.ngb-td5
#SENSITIVITY:sens_cal_5Kmin.ngb-ed5
#REMARK:tot 1432.0
#SAMPLE:Sbr-87-200c-30m_HR5_2ar
#SAMPLE MASS /mg:76
#MATERIAL:
#REFERENCE:Ref.
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:High pressure, steel
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:1385.5
#M.RANGE /�V:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25�C....200�C/-7.0....7.0K/min
#SEGMENT:S1-9/9
#SEG. 1:25�C/7.0(K/min)/50�C
#SEG. 2:50�C/00:15/50�C
#SEG. 3:50�C/5.0(K/min)/200�C
#SEG. 4:200�C/00:30/200�C
#SEG. 5:200�C/7.0(K/min)/50�C
#SEG. 6:50�C/04:00/50�C
#SEG. 7:50�C/5.0(K/min)/200�C
#SEG. 8:200�C/00:30/200�C
#SEG. 9:200�C/7.0(K/min)/50�C

##Temp./C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 33.47400;  0.00000;       0.20789;50.00000;100.00000;3.05528;1
 33.47300;  0.01667;       0.20499;50.00000;100.00000;3.05528;1
 33.47500;  0.03333;       0.20242;50.00000;100.00000;3.05528;1
 33.47700;  0.05000;       0.19987;50.00000;100.00000;3.05529;1
 33.47700;  0.06667;       0.19735;50.00000;100.00000;3.05529;1
 33.48000;  0.08333;       0.19487;50.00000;100.00000;3.05529;1
 33.48000;  0.10000;       0.19242;50.00000;100.00000;3.05529;1
 33.48200;  0.11667;       0.19002;50.00000;100.00000;3.05529;1
 33.48200;  0.13333;       0.18764;50.00000;100.00000;3.05529;1
 33.48500;  0.15000;       0.18530;50.00000;100.00000;3.05530;1
 33.48700;  0.16667;       0.18296;50.00000;100.00000;3.05530;1
 33.48900;  0.18333;       0.18065;50.00000;100.00000;3.05530;1
 33.49100;  0.20000;       0.17838;50.00000;100.00000;3.05531;1
 33.49000;  0.21667;       0.17615;50.00000;100.00000;3.05530;1
 33.49300;  0.23333;       0.17393;50.00000;100.00000;3.05531;1
 33.49400;  0.25000;       0.17179;50.00000;100.00000;3.05531;1
 33.49600;  0.26667;       0.16965;50.00000;100.00000;3.05531;1
 33.49800;  0.28333;       0.16755;50.00000;100.00000;3.05531;1
 33.49900;  0.30000;       0.16545;50.00000;100.00000;3.05532;1
 33.50100;  0.31667;       0.16340;50.00000;100.00000;3.05532;1
 33.50200;  0.33333;       0.16137;50.00000;100.00000;3.05532;1
 33.50300;  0.35000;       0.15933;50.00000;100.00000;3.05532;1
 33.50400;  0.36667;       0.15738;50.00000;100.00000;3.05532;1
 33.50500;  0.38333;       0.15543;50.00000;100.00000;3.05532;1
 33.50800;  0.40000;       0.15349;50.00000;100.00000;3.05533;1
 33.50900;  0.41667;       0.15156;50.00000;100.00000;3.05533;1
 33.51000;  0.43333;       0.14970;50.00000;100.00000;3.05533;1
 33.51200;  0.45000;       0.14781;50.00000;100.00000;3.05533;1
 33.51300;  0.46667;       0.14598;50.00000;100.00000;3.05534;1
 33.51400;  0.48333;       0.14420;50.00000;100.00000;3.05534;1
 33.51500;  0.50000;       0.14241;50.00000;100.00000;3.05534;1
 33.51600;  0.51667;       0.14064;50.00000;100.00000;3.05534;1
 33.51900;  0.53333;       0.13893;50.00000;100.00000;3.05534;1
 33.52000;  0.55000;       0.13721;50.00000;100.00000;3.05534;1
 33.52100;  0.56667;       0.13552;50.00000;100.00000;3.05535;1
 33.52200;  0.58333;       0.13385;50.00000;100.00000;3.05535;1
 33.52200;  0.60000;       0.13218;50.00000;100.00000;3.05535;1
 33.52600;  0.61667;       0.13055;50.00000;100.00000;3.05535;1
 33.52600;  0.63333;       0.12893;50.00000;100.00000;3.05535;1
