#EXPORTTYPE:DATA ALL
#FILE:
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 200F3
#PROJECT:
#DATE/TIME:13.05.2025 15:53
#CORR. FILE:
#TEMPCAL:temp_cal_5Kmin.ngb-td5
#SENSITIVITY:sens_cal_5Kmin.ngb-ed5
#LABORATORY:
#OPERATOR:
#REMARK:tot 1433.2
#SAMPLE:
#SAMPLE MASS /mg:75.2
#MATERIAL:
#REFERENCE:Ref.
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:High pressure, steel
#SAMPLE CRUCIBLE MASS /mg:1358.4
#REFERENCE CRUCIBLE MASS /mg:1385.5
#M.RANGE /�V:5000
#TAU-R:---
#CORR. CODE:000
#EXO:-1
#RANGE:25�C....200�C/-7.0....7.0K/min
#SEGMENT:S1-5/5
#SEG. 1:25�C/7.0(K/min)/50�C
#SEG. 2:50�C/00:15/50�C
#SEG. 3:50�C/5.0(K/min)/200�C
#SEG. 4:200�C/00:30/200�C
#SEG. 5:200�C/7.0(K/min)/50�C

##Temp./C;Time/min;DSC/(mW/mg);Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW);Segment
 47.80600; 0.00000; 0.32816;50.00000;100.00000;3.07231;1
 47.80800; 0.01667; 0.32331;50.00000;100.00000;3.07231;1
 47.80900; 0.03333; 0.31904;50.00000;100.00000;3.07231;1
 47.81400; 0.05000; 0.31477;50.00000;100.00000;3.07231;1
 47.81500; 0.06667; 0.31058;50.00000;100.00000;3.07231;1
 47.81800; 0.08333; 0.30643;50.00000;100.00000;3.07232;1
 47.82000; 0.10000; 0.30234;50.00000;100.00000;3.07232;1
 47.82300; 0.11667; 0.29828;50.00000;100.00000;3.07232;1
 47.82500; 0.13333; 0.29429;50.00000;100.00000;3.07232;1
 47.82700; 0.15000; 0.29032;50.00000;100.00000;3.07233;1
 47.82900; 0.16667; 0.28646;50.00000;100.00000;3.07233;1
 47.83100; 0.18333; 0.28262;50.00000;100.00000;3.07233;1
 47.83200; 0.20000; 0.27880;50.00000;100.00000;3.07233;1
 47.83400; 0.21667; 0.27505;50.00000;100.00000;3.07233;1
 47.83700; 0.23333; 0.27133;50.00000;100.00000;3.07234;1
 47.83800; 0.25000; 0.26767;50.00000;100.00000;3.07234;1
 47.83900; 0.26667; 0.26412;50.00000;100.00000;3.07234;1
 47.84100; 0.28333; 0.26052;50.00000;100.00000;3.07234;1
 47.84200; 0.30000; 0.25701;50.00000;100.00000;3.07234;1
 47.84300; 0.31667; 0.25353;50.00000;100.00000;3.07234;1
 47.84400; 0.33333; 0.25007;50.00000;100.00000;3.07234;1
 47.84600; 0.35000; 0.24668;50.00000;100.00000;3.07235;1
 47.84700; 0.36667; 0.24335;50.00000;100.00000;3.07235;1
 47.84800; 0.38333; 0.24002;50.00000;100.00000;3.07235;1
 47.84900; 0.40000; 0.23676;50.00000;100.00000;3.07235;1
 47.85000; 0.41667; 0.23352;50.00000;100.00000;3.07235;1
 47.85200; 0.43333; 0.23036;50.00000;100.00000;3.07235;1
 47.85300; 0.45000; 0.22721;50.00000;100.00000;3.07235;1
 47.85300; 0.46667; 0.22410;50.00000;100.00000;3.07235;1
 47.85400; 0.48333; 0.22101;50.00000;100.00000;3.07235;1
 47.85600; 0.50000; 0.21798;50.00000;100.00000;3.07236;1
 47.85500; 0.51667; 0.21500;50.00000;100.00000;3.07235;1
 47.85600; 0.53333; 0.21202;50.00000;100.00000;3.07236;1
 47.85600; 0.55000; 0.20912;50.00000;100.00000;3.07236;1
 47.85600; 0.56667; 0.20623;50.00000;100.00000;3.07236;1
 47.85700; 0.58333; 0.20337;50.00000;100.00000;3.07236;1
 47.85700; 0.60000; 0.20055;50.00000;100.00000;3.07236;1
 47.85800; 0.61667; 0.19775;50.00000;100.00000;3.07236;1
 47.85800; 0.63333; 0.19499;50.00000;100.00000;3.07236;1
 47.85900; 0.65000; 0.19226;50.00000;100.00000;3.07236;1
 47.85900; 0.66667; 0.18961;50.00000;100.00000;3.07236;1
 47.86000; 0.68333; 0.18694;50.00000;100.00000;3.07236;1
 47.85900; 0.70000; 0.18435;50.00000;100.00000;3.07236;1
 47.86100; 0.71667; 0.18175;50.00000;100.00000;3.07236;1
 47.86000; 0.73333; 0.17918;50.00000;100.00000;3.07236;1
 47.85900; 0.75000; 0.17663;50.00000;100.00000;3.07236;1
 47.85700; 0.76667; 0.17416;50.00000;100.00000;3.07236;1
 47.85900; 0.78333; 0.17168;50.00000;100.00000;3.07236;1
 47.85700; 0.80000; 0.16927;50.00000;100.00000;3.07236;1
 47.85800; 0.81667; 0.16687;50.00000;100.00000;3.07236;1
